静謐,せいひつ
剣呑,けんのん
倭語,わご
裳層,ひさし
行灯袴,あんどんばかま
炒飯,ちゃ゜はん
界隈,かいわい
小糠雨,こぬかあめ
八紘,はっこう
一匹狼,いっぴきおおかみ
雪見灯篭,ゆきみどうろう
頬骨,ほおぼね
剛毅,ごうき
袴能,はかまのう
太々神楽,だいだいかぐら
豊葦原,とよあしはら
事蹟,じせき
海鞘,ほや
切篭,きりこ
四十雀,しじゅうから
傭人,ようにん
清冽,せいれつ
防諜,ぼうちょう
白堊,はくあ
平家蟹,へいけがに
黄塵,こうじん
麝香,じゃこう
砂糖黍,さとうきび
紅毛碧眼,こうもうへきがん
紬糸,つむぎいと
緋牡丹,ひぼたん
元々,もともと
蓮台,れんだい
華燭,かしょく
天真爛漫,てんしんらんまん
博引旁証,はくいんぼうしょう
柾目,まさめ
吸瓢,すいふくべ
毒蛾,どくが
桃栗三年柿八年,ももくりさんねんかきはちねん
檀林,だんりん
石筍,せきじゅん
鉄蹄,てってい
竜頭鷁首,りゅうとうげきしゅ
竜頭鷁首,りょうとうげきしゅ
棒杙,ぼうぐい
暴虎馮河,ぼうこひょうが
魂魄,こんぱく
鍔際,つばぎわ
興味津々,きょうみしんしん
烏天狗,からすてんぐ
水俣病,みなまたびょう
伊呂波,いろは
如菩薩,にょぼさつ
佳辰,かしん
山雀,やまがら
巻鮨,まきずし
独擅場,どくせんじょう
山姥,やまうば
山姥,やまんば
葉腋,ようえき
刀瘢,とうはん
煉物,ねりもの
正々堂々,せいせいどうどう
瑞雲,ずいうん
夾侍,きょうじ
経帷子,きょうかたびら
叛旗,はんき
木醋,もくさく
三度笠,さんどがさ
去痰,きょたん
幣帛,へいはく
撞木,しゅもく
狂涛,きょうとう
阿闍梨,あじゃり
蔬菜,そさい
仮寓,かぐう
浅茅,あさじ
栗色,くりいろ
開闢,かいびゃく
犢鼻褌,ふんどし
和漢混淆文,わかんこんこうぶん
海鼠腸,このわた
貪慾,どんよく
僻論,へきろん
永劫,えいごう
坐職,ざしょく
白髯,はくぜん
憮然,ぶぜん
姦雄,かんゆう
芥子,からし
芥子,けし
篆字,てんじ
敬虔,けいけん
波瀾万丈,はらんばんじょう
薮医者,やぶいしゃ
糞度胸,くそどきょう
冷罨法,れいあんぽう
落鮎,おちあゆ
断篇,だんぺん
薙刀草履,なぎなたぞうり
栗饅頭,くりまんじゅう
飛瀑,ひばく
烽火,ほうか
一酉,いちのとり
善智識,ぜんちしき
飄逸,ひょういつ
鱈子,たらこ
狐格子,きつねごうし
椎茸,しいたけ
望蜀,ぼうしょく
烟管,えんかん
鳩麦,はとむぎ
素樸,そぼく
油母頁岩,ゆぼけつがん
焼夷弾,しょういだん
叢書,そうしょ
交誼,こうぎ
鈴蘭灯,すずらんとう
末梢,まっしょう
逆鱗,げきりん
蔓生,まんせい
敏捷,びんしょう
厭地,いやち
西瓜,すいか
病蓐,びょうじょく
老耄,おいぼれ
老耄,ろうもう
蚊蜻蛉,かとんぼ
金太郎飴,きんたろうあめ
酒杜氏,さかとうじ
黄精飴,おうせいあめ
柴刈,しばかり
螢袋,ほたるぶくろ
段々畑,だんだんばたけ
尾燈,びとう
匪徒,ひと
醋酸,さくさん
蓮歩,れんぽ
藍碧,らんぺき
南無妙法蓮華経,なむみょうほうれんげきょう
解頤,かいい
蜘蛛猿,くもざる
素馨,そけい
蠧毒,とどく
山颪,やまおろし
雀焼,すずめやき
厭世,えんせい
雪兎,ゆきうさぎ
世々,せぜ
秘蹟,ひせき
優婉,ゆうえん
卒爾,そつじ
対蹠,たいしょ
赤味噌,あかみそ
硅酸,けいさん
常々,つねづね
烏帽子,えぼし
縦縞,たてじま
狭筵,さむしろ
気息奄奄,きそくえんえん
大旱,たいかん
燕尾,えんび
屍毒,しどく
天竺牡丹,てんじくぼたん
玉蜀黍,とうもろこし
邪智,じゃち
別盃,べっぱい
三椏,みつまた
瑞祥,ずいしょう
艱難,かんなん
蕩児,とうじ
苧環,おだまき
紅蜀葵,こうしょっき
炭砿,たんこう
銀髯,ぎんぜん
鯉口,こいぐち
浅茅生,あさじゅう
阿弥陀如来,あみだにょらい
蹶然,けつぜん
小牡鹿,さをしか
酢漿,かたばみ
鄙劣,ひれつ
脱疽,だっそ
侠客,きょうかく
樽柿,たるがき
伊達巻,だてまき
小慾,しょうよく
反駁木,はんばくぎ
不憫,ふびん
観世音菩薩,かんぜおんぼさつ
平仄,ひょうそく
蛍烏賊,ほたるいか
戌年,いぬどし
紙礫,かみつぶて
矢筈,やはず
行李,こうり
葦原雀,よしわらすずめ
白洲,しらす
懸壅垂,けんようすい
隊伍,たいご
蝋色,ろいろ
臑当,すねあて
桂皮,けいひ
細瑾,さいきん
全智,ぜんち
輿地,よち
不恰好,ぶかっこう
廻文,かいぶん
蕎麦殻,そばがら
頽勢,たいせい
麒麟児,きりんじ
女衒,ぜげん
甘汞,かんこう
麦稈真田,ばっかんさなだ
余祿,よろく
阿茶羅漬,あちゃらづけ
葦辺,あしべ
郁子,むべ
蠧魚,しみ
蠧魚,とぎょ
蝦根,えびね
僻説,へきせつ
海鼠壁,なまこかべ
嬰児,えいじ
