静謐,せいひつ
衍字,えんじ
帷子,かたびら
綺羅星,きらぼし
大腿,だいたい
杏林,きょうりん
甘藷,かんしょ
甘藷,さつまいも
甲冑,かっちゅう
月桂樹,げっけいじゅ
不撓,ふとう
梯酒,はしござけ
廻航,かいこう
男旱,おとこひでり
佚書,いっしょ
旭日,きょくじつ
藁半紙,わらばんし
手翰,しゅかん
火箭,ひや
火箭,かせん
綺羅,きら
麹菌,こうじきん
芳醇,ほうじゅん
極楽蜻蛉,ごくらくとんぼ
流竄,りゅうざん
苧麻,からむし
苧麻,ちょま
楔形文字,くさびがたもじ
楔形文字,せっけいもんじ
御佩刀,みはかし
彌助,やすけ
花篭,はなかご
恙虫,つつがむし
値鞘,ねざや
土竃,どがま
鼾声,かんせい
蒲鉾形,かまぼこがた
三碧,さんぺき
莫大,ばくだい
苹果,りんご
緇衣,しえ
緇衣,しい
麻疹,はしか
高髷,たかまげ
斬奸状,ざんかんじょう
久々,ひさびさ
大廈,たいか
栄耀,えいよう
繋辞,けいじ
痛痒,つうよう
呑口,のみぐち
真田紐,さなだひも
膠状,こうじょう
寸毫,すんごう
朗々,ろうろう
贋札,にせさつ
鼠算,ねずみざん
高禄,こうろく
毘盧遮那仏,びるしゃなぶつ
脳溢血,のういっけつ
高襷,たかだすき
蟯虫,ぎょうちゅう
青蛙,あおがえる
什器,じゅうき
鳳声,ほうせい
百日咳,ひゃくにちぜき
茶筌髪,ちゃせんがみ
獅子奮迅,ししふんじん
聖餐,せいさん
痲酔,ますい
細瑕,さいか
日雀,ひがら
朧昆布,おぼろこぶ
酒盃,しゅはい
馬蹄,ばてい
掛衿,かけえり
蝦夷松,えぞまつ
唐鋤,からすき
煉獄,れんごく
鳶色,とびいろ
昼鳶,ひるとんび
唐綾,からあや
鬘下,かつらした
狐拳,きつねけん
李下,りか
苗裔,びょうえい
紺絣,こんがすり
鉛槧,えんざん
老媼,ろうおう
焚物,たきもの
肯綮,こうけい
好誼,こうぎ
瑞光,ずいこう
汲取口,くみとりぐち
福祿寿,ふくろくじゅ
念々,ねんねん
僻心,ひがごころ
潅腸,かんちょう
集塵機,しゅうじんき
頚動脈,けいどうみゃく
延々,えんえん
板葺,いたぶき
顴骨,かんこつ
顴骨,けんこつ
倭文,しず
奸雄,かんゆう
七分搗,しちぶづき
飴色,あめいろ
濡髪,ぬれがみ
動悸,どうき
惚気,のろけ
桂冠詩人,けいかんしじん
脈搏,みゃくはく
海豹,あざらし
海豹,かいひょう
臥所,ふしど
青鞜,せいとう
竹槍,たけやり
寓話,ぐうわ
蔓質,つるだち
翰墨,かんぼく
紅葉葵,もみじあおい
鳥黐,とりもち
稟質,ひんしつ
甘海苔,あまのり
土饅頭,どまんじゅう
仮庵,かりほ
梳油,すきあぶら
聖廟,せいびょう
蘭医,らんい
生薑,しょうが
柘植,つげ
森々,しんしん
砥石,といし
艷歌,えんか
斯道,しどう
溝鼠,どぶねずみ
緋色,ひいろ
蕪辞,ぶじ
薬篭,やくろう
颱風,たいふう
鳴鏑,なりかぶら
空挺,くうてい
謬説,びょうせつ
燧金,ひうちがね
縮緬雑魚,ちりめんじゃこ
余蘊,ようん
石榴口,ざくろぐち
鼻梁,びりょう
鼻腔,びこう
水瀉,すいしゃ
姦夫,かんぷ
雨蛙,あまがえる
穀蛾,こくが
麾下,きか
馬糞,ばふん
馬糞,まぐそ
兇行,きょうこう
山賎,やまがつ
胸糞,むなくそ
胸糞,むねくそ
外廓,がいかく
麦藁蜻蛉,むぎわらとんぼ
艷麗,えんれい
刳舟,くりふね
侘助,わびすけ
蛾眉,がび
歯朶,しだ
尚々書,なおなおがき
亭々,ていてい
茄子,なすび
茄子,なす
捷報,しょうほう
惟神,かんながら
梁木,りょうぼく
鍾乳石,しょうにゅうせき
金壷眼,かなつぼまなこ
河鹿蛙,かじかがえる
躁鬱病,そううつびょう
百花繚乱,ひゃっかりょうらん
手鉤,てかぎ
新撰,しんせん
法螺貝,ほらがい
孟母,もうぼ
阿修羅,あしゅら
筍生活,たけのこせいかつ
鄙俗,ひぞく
麦藁,むぎわら
神輿,しんよ
神輿,みこし
揚々,ようよう
庇髪,ひさしがみ
恐惶,きょうこう
檀那,だんな
錆声,さびごえ
元祿袖,げんろくそで
古蹟,こせき
両々,りょうりょう
譬喩,ひゆ
漠々,ばくばく
曠職,こうしょく
合鴨,あいがも
駻馬,かんば
毛虱,けじらみ
雛菊,ひなぎく
盧遮那仏,るしゃなぶつ
豊穣,ほうじょう
訳註,やくちゅう
餡蜜,あんみつ
菅薦,すがごも
殿様蛙,とのさまがえる
艷物,つやもの
手燭,てしょく
手燭,しゅしょく
雁来紅,はげいとう
雁来紅,がんらいこう
鴃舌,げきぜつ
萌黄,もえぎ
聾者,ろうしゃ
黄疸,おうだん
孟春,もうしゅん
熱々,あつあつ
笑茸,わらいだけ
革砥,かわと
南無阿彌陀仏,なむあみだぶつ
姫糊,ひめのり
鴨脚,いちょう
奇蹟,きせき
稀少,きしょう
妖婉,ようえん
神饌,しんせん
梟将,きょうしょう
唐丸篭,とうまるかご
祿米,ろくまい
小皺,こじわ
稟性,ひんせい
虎鬚,とらひげ
倭歌,やまとうた
驥足,きそく
逢瀬,おうせ
磐石,ばんじゃく
吾妻,あづま
佞臣,ねいしん
身欠鰊,みがきにしん
腎盂,じんう
傷痍軍人,しょういぐんじん
毛氈,もうせん
石鯛,いしだい
快哉,かいさい
雲烟縹緲,うんえんひょうびょう
智識,ちしき
養鰻,ようまん
一口咄,ひとくちばなし
側杖,そばづえ
健啖,けんたん
出鱈目,でたらめ
編笠,あみがさ
扁桃腺,へんとうせん
花椰菜,はなやさい
内腿,うちもも
芋蔓,いもづる
毛蟹,けがに
中澣,ちゅうかん
牝鶏,ひんけい
饗宴,きょうえん
末裔,まつえい
孟夏,もうか
蛭巻,ひるまき
藤袴,ふじばかま
放佚,ほういつ
草龜,くさがめ
鼠色,ねずみいろ
矮鶏,ちゃぼ
秋毫,しゅうごう
帷幄上奏,いあくじょうそう
土埃,つちぼこり
奇巖,きがん
羅紗,らしゃ
遁辞,とんじ
鰻重,うなじゅう
稠密,ちょうみつ
稠密,ちゅうみつ
孤閨,こけい
菩提所,ぼだいしょ
脳裡,のうり
盃洗,はいせん
龜甲,きっこう
媚態,びたい
肛門,こうもん
都々逸,どどいつ
淵瀬,ふちせ
皆既蝕,かいきしょく
厩舎,きゅうしゃ
八幡西,はちまんにし
秋海棠,しゅうかいどう
鴬餅,うぐいすもち
硅藻土,けいそうど
駁説,ばくせつ
土牢,つちろう
水黽,あめんぼ
鳩尾,みずおち
鳩尾,みぞおち
綸言,りんげん
取肴,とりざかな
縹色,はなだいろ
七竃,ななかまど
衿元,えりもと
竹竿,たけざお
萌葱色,もえぎいろ
這松,はいまつ
縞蚊,しまか
牡丹,ぼたん
窪地,くぼち
兵戈,へいか
瑞相,ずいそう
黄櫨,はぜ
黄櫨,はぜのき
馴染,なじみ
胚珠,はいしゅ
篆書,てんしょ
笹竜胆,ささりんどう
薗八節,そのはちぶし
寂寥,せきりょう
鋭鋒,えいほう
唯々,いい
奇智,きち
瓦斯糸,がすいと
皺腹,しわばら
鳩羽鼠,はとばねずみ
符牒,ふちょう
傷痍,しょうい
淋毒,りんどく
滝壷,たきつぼ
荷嵩,にがさ
大篆,だいてん
事勿主義,ことなかれしゅぎ
普陀落,ふだらく
蓆旗,むしろばた
蟻食,ありくい
法界悋気,ほうかいりんき
大洲,おおす
颶風,ぐふう
馬糞紙,ばふんし
膵臓,すいぞう
索莫,さくばく
巖頭,がんとう
汀線,ていせん
堰堤,えんてい
桂馬,けいま
身贔屓,みびいき
臥薪嘗胆,がしんしょうたん
竜涎香,りゅうぜんこう
雷霆,らいてい
山葵漬,わさびづけ
剛碗,ごうわん
阿羅漢,あらかん
下腿,かたい
羯鼓,かっこ
覆轍,ふくてつ
質樸,しつぼく
欣々然,きんきんぜん
缺字,けつじ
孝悌,こうてい
不躾,ぶしつけ
火焔,かえん
古疵,ふるきず
智勇,ちゆう
熨斗紙,のしがみ
骨粗鬆症,こつそしょうしょう
智能指数,ちのうしすう
搦手,からめて
不麿,ふま
皮癬,ひぜん
菅垣,すががき
雲霞,うんか
透綾,すきや
芙蓉峰,ふようほう
金釘,かなくぎ
劃一,かくいつ
坐浴,ざよく
艷布巾,つやぶきん
鞘堂,さやどう
座敷牢,ざしきろう
先鋒,せんぽう
兇状,きょうじょう
美髯,びぜん
膿汁,のうじゅう
塵土,じんど
漿果,しょうか
正餐,せいさん
厭忌,えんき
会厭,ええん
宮内卿,くないきょう
伝書鳩,でんしょばと
赤鰯,あかいわし
縞柄,しまがら
久留米絣,くるめがすり
愍然,びんぜん
牡丹刷毛,ぼたんばけ
針槐,はりえんじゅ
磐城,いわき
流謫,るたく
咄家,はなしか
古址,こし
這般,しゃはん
錆竹,さびだけ
私慾,しよく
砂塵,さじん
梵字,ぼんじ
胯間,こかん
鍾乳洞,しょうにゅうどう
底翳,そこひ
粗糠,あらぬか
蘇芳,すおう
金剛杖,こんごうづえ
平々凡々,へいへいぼんぼん
雁木,がんぎ
珪砂,けいしゃ
口腔,こうこう
口腔,こうくう
偸盗,ちゅうとう
勿怪,もっけ
莫連,ばくれん
悉曇,しったん
烏口,からすぐち
三目錐,みつめぎり
枢機卿,すうききょう
枢機卿,すうきけい
斯業,しぎょう
継竿,つぎざお
丑日,うしのひ
莫逆,ばくぎゃく
紫蘇,しそ
鵞口瘡,がこうそう
智能,ちのう
檀徒,だんと
滄海,そうかい
犬釘,いぬくぎ
子々孫々,ししそんそん
荷鞍,にぐら
猿臂,えんぴ
海燕,うみつばめ
干鰯,ほしか
芋粥,いもがゆ
僭上,せんじょう
香奠,こうでん
梟首,きょうしゅ
兜首,かぶとくび
百日鬘,ひゃくにちかずら
征夷大将軍,せいいたいしょうぐん
儕輩,せいはい
儕輩,さいはい
獨酒,どぶろく
灰篩,はいふるい
古狸,ふるだぬき
嬌名,きょうめい
乾鰯,ほしか
草庵,そうあん
胃痙攣,いけいれん
御苑,ぎょえん
埠頭,ふとう
蛇蝎,だかつ
舌鮃,したびらめ
瀕死,ひんし
情誼,じょうぎ
悲愴,ひそう
一眸,いちぼう
鎧戸,よろいど
燐鉱,りんこう
渾身,こんしん
饅頭笠,まんじゅうがさ
纏足,てんそく
貪婪,どんらん
錨地,びょうち
裘褐,きゅうかつ
瓦礫,がれき
銅牌,どうはい
名苑,めいえん
貫禄,かんろく
糅飯,かてめし
訥弁,とつべん
煙霞,えんか
靱帯,じんたい
唐萵苣,とうじさ
帝廟,ていびょう
組盃,くみさかずき
夏蜜柑,なつみかん
降雹,こうひょう
人蔭,ひとかげ
題簽,だいせん
戎衣,じゅうい
考妣,こうひ
頚巻,くびまき
素袷,すあわせ
上臈,じょうろう
浮屠,ふと
聯隊,れんたい
胡座鼻,あぐらばな
礬水,どうさ
佯狂,ようきょう
春霞,はるがすみ
毅然,きぜん
金海鼠,きんこ
鵬翼,ほうよく
車輛,しゃりょう
一口噺,ひとくちばなし
砂礫,されき
墨蹟,ぼくせき
銀牌,ぎんぱい
燕子花,かきつばた
磯魚,いさな
上浣,じょうかん
娑婆,しゃば
心悸亢進,しんきこうしん
山岨,やまそわ
散蓮華,ちりれんげ
竪桟,たてざん
脾腹,ひばら
頁岩,けつがん
湿疹,しっしん
草薮,くさやぶ
蝕甚,しょくじん
魑魅,ちみ
魑魅,すだま
旧誼,きゅうぎ
山梔子,くちなし
豪奢,ごうしゃ
紫宸殿,ししんでん
眷属,けんぞく
河原撫子,かわらなでしこ
日蔭,ひかげ
銀箔,ぎんぱく
電纜,でんらん
苦瓜,にがうり
笹縁,ささべり
白無垢,しろむく
火燵,こたつ
行嚢,こうのう
糞力,くそぢから
訛音,かおん
連枷,からざお
破瓜,はか
熔炉,ようろ
針鼠,はりねずみ
台秤,だいばかり
後楯,うしろだて
来駕,らいが
侠盗,きょうとう
立葵,たちあおい
牽牛,けんぎゅう
蓮葉,はすは
漂蕩,ひょうとう
切疵,きりきず
鳴禽,めいきん
手枷,てかせ
櫛形,くしがた
弓筈,ゆはず
悖徳,はいとく
痘瘡,とうそう
水飴,みずあめ
糯米,もちごめ
御蔭様,おかげさま
竿竹,さおだけ
深淵,しんえん
烏賊,いか
火桶,ひおけ
三色菫,さんしきすみれ
辺疆,へんきょう
須臾,しゅゆ
楊子,ようじ
紋甲烏賊,もんごういか
筮竹,ぜいちく
喧嘩腰,けんかごし
雁股,かりまた
糶売,せりうり
鷹野,たかの
秘鑰,ひやく
漕艇,そうてい
捷利,しょうり
面疔,めんちょう
瓜田,かでん
屑糸,くずいと
濡衣,ぬれぎぬ
嚢底,のうてい
猪突猛進,ちょとつもうしん
綴字,ていじ
綴字,てつじ
急峻,きゅうしゅん
胸裡,きょうり
洒々落々,しゃしゃらくらく
三叉路,さんさろ
鶏肋,けいろく
盈虚,えいきょ
竦然,しょうぜん
珪石,けいせき
野兎,やと
粛々,しゅくしゅく
癌腫,がんしゅ
紋白蝶,もんしろちょう
俎板,まないた
後胤,こういん
外反母趾,がいはんぼし
普賢菩薩,ふげんぼさつ
荊妻,けいさい
愛嬌,あいきょう
御伽,おとぎ
黴毒,ばいどく
形而下,けいじか
片々,へんぺん
片栗,かたくり
引目鉤鼻,ひきめかぎはな
眷顧,けんこ
蘭書,らんしょ
枸櫞酸,くえんさん
屠所,としょ
粟粒,あわつぶ
粟粒,ぞくりゅう
一絃琴,いちげんきん
色々,いろいろ
木鋏,きばさみ
半截,はんせつ
蕩心,とうしん
宦官,かんがん
億劫,おっくう
私撰,しせん
藁火,わらび
γ線,がんません
目眩,めまい
杉苔,すぎごけ
庖丁,ほうちょう
綱曳,つなひき
八面六臂,はちめんろっぴ
折烏帽子,おりえぼし
神嘗祭,かんなめさい
錦繍,きんしゅう
宏遠,こうえん
瑞兆,ずいちょう
蔓植物,つるしょくぶつ
試煉,しれん
飛蝗,ばった
薮入,やぶいり
一昨々週,いっさくさくしゅう
砿業,こうぎょう
耽美,たんび
砒石,ひせき
美妓,びぎ
醤油,しょうゆ
蜜柑,みかん
竹篦,しっぺい
竹篦,たけべら
結城紬,ゆうきつむぎ
戎克,じゃんく
頬紅,ほおべに
巨魁,きょかい
胚葉,はいよう
牝馬,ひんば
真鴨,まがも
燧石,ひうちいし
紋縮緬,もんちりめん
文々,ぶんぶん
閃光,せんこう
鉄道弘済会,てつどうこうさいかい
緑綬,りょくじゅ
遺誡,いかい
夥多,かた
目屎,めくそ
混沌,こんとん
樸直,ぼくちょく
柴笛,しばぶえ
綴代,とじしろ
吃水線,きっすいせん
膏薬,こうやく
小楯,こだて
誣言,ぶげん
角錐,かくすい
酸漿,ほおずき
誰々,だれだれ
鼠穴,ねずみあな
壜詰,びんづめ
旅嚢,りょのう
切痔,きれじ
阿片窟,あへんくつ
頽齢,たいれい
硯蓋,すずりぶた
草木瓜,くさぼけ
屹然,きつぜん
板蔀,いたじとみ
龜節,かめぶし
稲荷鮨,いなりずし
易々,いい
侠気,きょうき
侠気,おとこぎ
流離譚,りゅうりたん
桃李,とうり
穎悟,えいご
廻状,かいじょう
蒙古斑,もうこはん
平蜘蛛,ひらたぐも
平蜘蛛,ひらぐも
涛声,とうせい
未曾有,みぞう
和気藹藹,わきあいあい
蒲団,ふとん
闘諍,とうじょう
昇魂之碑,しょうこんのひ
超邁,ちょうまい
猪口才,ちょこざい
雁皮紙,がんぴし
秤目,はかりめ
後疵,うしろきず
角樽,つのだる
軽躁,けいそう
智者,ちしゃ
田螺,たにし
時艱,じかん
繽紛,ひんぷん
釘隠,くぎかくし
智謀,ちぼう
狼煙,のろし
碩学,せきがく
福祿神,ふくろくじん
海鼠餅,なまこもち
蚕糞,こくそ
猛禽,もうきん
波瀾,はらん
浅草海苔,あさくさのり
米糠,こめぬか
黯然,あんぜん
飴牛,あめうし
亢竜,こうりょう
鹹湖,かんこ
梁間,はりま
訛語,かご
程々,ほどほど
雀蜂,すずめばち
音叉,おんさ
雄渾,ゆうこん
葦笛,あしぶえ
弘報,こうほう
短躯,たんく
不精髭,ぶしょうひげ
好逑,こうきゅう
（社）,しゃだんほうじん
清艷,せいえん
暖簾,のれん
菖蒲湯,しょうぶゆ
糠漬,ぬかづけ
厩肥,うまやごえ
厩肥,きゅうひ
睫毛,まつげ
澪標,みおつくし
霊柩,れいきゅう
薬鋪,やくほ
薄倖,はっこう
宸襟,しんきん
卑陋,ひろう
凱歌,がいか
操觚,そうこ
天誅,てんちゅう
見廻組,みまわりぐみ
座蒲団,ざぶとん
土蜘蛛,つちぐも
巫術,ふじゅつ
儀仗,ぎじょう
手斧,ておの
手斧,ちょうな
俸祿,ほうろく
焚付,たきつけ
辻斬,つじぎり
籐椅子,とういす
木端微塵,こっぱみじん
鴾毛,つきげ
菲才,ひさい
絆創膏,ばんそうこう
衣紋竿,えもんざお
初鰹,はつがつお
矩尺,かねじゃく
矩尺,かねざし
前々,まえまえ
亜砒酸,あひさん
譚歌,たんか
屋台囃子,やたいばやし
挽臼,ひきうす
田圃,たんぼ
巷間,こうかん
良辰,りょうしん
便々,べんべん
壷皿,つぼざら
書翰箋,しょかんせん
卜者,ぼくしゃ
笹折,ささおり
婉然,えんぜん
怫然,ふつぜん
肺癆,はいろう
空閨,くうけい
駄々,だだ
詭弁,きべん
義侠,ぎきょう
仔細,しさい
孟秋,もうしゅう
白鞘,しらさや
草摺,くさずり
櫛目,くしめ
助惣鱈,すけそうだら
小智,しょうち
本圃,ほんぽ
灯蛾,とうが
艷容,えんよう
柚子,ゆず
仇情,あだなさけ
仕方咄,しかたばなし
魯鈍,ろどん
盧遮那,るしゃな
茶箪笥,ちゃだんす
節榑,ふしくれ
野蒜,のびる
伽藍,がらん
冤罪,えんざい
瘢痕,はんこん
汐見,しおみ
缺員,けついん
歿年,ぼつねん
疏水,そすい
深々,しんしん
味噌汁,みそしる
掛篭,かけご
木蓮,もくれん
二重瞼,ふたえまぶた
檣楼,しょうろう
瑣末,さまつ
粗笨,そほん
宸筆,しんぴつ
靭帯,じんたい
平坦,へいたん
紫苑,しおん
金木犀,きんもくせい
鼻屎,はなくそ
隈取,くまどり
多角錐,たかくすい
炎々,えんえん
鼠咬症,そこうしょう
舵手,だしゅ
水禽,すいきん
傍杖,そばづえ
八目鰻,やつめうなぎ
雑纂,ざっさん
山羊鬚,やぎひげ
寸々,すんずん
砿石,こうせき
塩竃,しおがま
皇儲,こうちょ
絎台,くけだい
明眸,めいぼう
艷種,つやだね
各々,おのおの
吾妹子,わぎもこ
叱声,しっせい
鉄砧雲,かなとこぐも
甘味噌,あまみそ
真蛸,まだこ
軽々,けいけい
寒靄,かんあい
輪袈裟,わげさ
橙色,だいだいいろ
椋鳥,むくどり
盂蘭盆会,うらぼんえ
呉絽,ごろ
天竺浪人,てんじくろうにん
富嶽,ふがく
毛槍,けやり
生蕎麦,きそば
打紐,うちひも
人糞,じんぷん
面々,めんめん
無祿,むろく
切子灯篭,きりこどうろう
山々,やまやま
瀑布,ばくふ
抛物線,ほうぶつせん
後裔,こうえい
漁撈,ぎょろう
八重葎,やえむぐら
松茸,まつたけ
晨鶏,しんけい
筥迫,はこせこ
薩摩守,さつまのかみ
華鬘,けまん
蟻塚,ありづか
酒糟,さけかす
藁灰,わらばい
餬口,ここう
金無垢,きんむく
尸位素餐,しいそさん
山葵,わさび
飄客,ひょうかく
直々,じきじき
蛋白石,たんぱくせき
憫然,びんぜん
斯文,しぶん
投槍,なげやり
溜池,ためいけ
癈疾,はいしつ
曠古,こうこ
松涛,しょうとう
遊侠,ゆうきょう
射倖,しゃこう
頚輪,くびわ
滴々,てきてき
縄暖簾,なわのれん
苫舟,とまぶね
牽牛花,けんぎゅうか
五絃,ごげん
菎蒻版,こんにゃくばん
擂芋,すりいも
紅生薑,べにしょうが
昏冥,こんめい
罫描,けがき
浚渫船,しゅんせつせん
鉢叩,はちたたき
外篇,がいへん
一攫千金,いっかくせんきん
痴呆,ちほう
管鍼,くだばり
肥饒,ひじょう
夾竹桃,きょうちくとう
蚊鉤,かばり
万籟,ばんらい
馬喰,ばくろう
腓腸筋,ひちょうきん
噛煙草,かみたばこ
樟脳,しょうのう
目釘,めくぎ
双眸,そうぼう
組紐,くみひも
蓬生,よもぎふ
火鑽,ひきり
烏有,うゆう
諧謔,かいぎゃく
春蝉,はるぜみ
空咳,からせき
数々,かずかず
娼家,しょうか
伏篭,ふせご
粳米,うるちまい
肥胖症,ひはんしょう
足枷,あしかせ
骨骼,こっかく
雛菓子,ひながし
融通無碍,ゆうずうむげ
喊声,かんせい
歯齦,しぎん
規矩,きく
書痙,しょけい
蒼天,そうてん
杏子,あんず
継棹,つぎざお
人情噺,にんじょうばなし
二豎,にじゅ
妾出,しょうしゅつ
煖房,だんぼう
胡地,こち
甚麼,いんも
奸計,かんけい
雀踊,すずめおどり
愛慾,あいよく
躁狂,そうきょう
毬藻,まりも
脾臓,ひぞう
淋巴管,りんぱかん
大旆,たいはい
戒杖,かいじょう
豪宕,ごうとう
舳先,へさき
粗筵,あらむしろ
蜜蝋,みつろう
俗諺,ぞくげん
贅肉,ぜいにく
黴菌,ばいきん
逆睹,げきと
脹満,ちょうまん
木挽,こびき
檀那寺,だんなでら
誣告罪,ぶこくざい
共軛,きょうやく
天竺鼠,てんじくねずみ
稀世,きせい
赤茄子,あかなす
廂間,ひあわい
鵬程,ほうてい
貫祿,かんろく
皆々様,みなみなさま
遺蹟,いせき
縄梯子,なわばしご
茶杓,ちゃしゃく
万朶,ばんだ
嫣然,えんぜん
裳裾,もすそ
葱坊主,ねぎぼうず
骨董,こっとう
谿谷,けいこく
無垢,むく
焚書坑儒,ふんしょこうじゅ
輿論,よろん
紅鉄漿,べにかね
鳩羽色,はとばいろ
索寞,さくばく
痳疾,りんしつ
砥粉,とのこ
荏胡麻,えごま
水芭蕉,みずばしょう
後翅,こうし
青蝿,あおばえ
早々,そうそう
名妓,めいぎ
屏風,びょうぶ
罫線,けいせん
祖廟,そびょう
法蓮草,ほうれんそう
Ｃ型肝炎,し゜がたかんえん
煤煙,ばいえん
杞憂,きゆう
巌暑,げんしょ
艷事,つやごと
惘然,ぼうぜん
敝衣,へいい
藍綬,らんじゅ
β線,べ゜たせん
千仞,せんじん
薮蛇,やぶへび
真蹟,しんせき
芥子泥,からしでい
頬袋,ほおぶくろ
函数,かんすう
鳩信,きゅうしん
頽唐,たいとう
濛気,もうき
昔馴染,むかしなじみ
富籤,とみくじ
泥鰌,どじょう
渾一,こんいつ
衒学,げんがく
吊床,つりどこ
雄篇,ゆうへん
臓腑,ぞうふ
鼻聾,はなつんぼ
婢僕,ひぼく
微塵,みじん
涕涙,ているい
欣快,きんかい
蜆花,しじみばな
小・中学生,しょうちゅうがくせい
高麗鼠,こまねずみ
口喧嘩,くちげんか
水牢,みずろう
叛骨,はんこつ
華胥,かしょ
蕎麦湯,そばゆ
芸妓,げいぎ
棍棒,こんぼう
祠堂,しどう
圭角,けいかく
桧皮,ひわだ
碁笥,ごけ
蒲柳,ほりゅう
葡萄糖,ぶどうとう
蘭鋳,らんちゅう
辻君,つじぎみ
馬鹿囃子,ばかばやし
孟宗竹,もうそうちく
小柴垣,こしばがき
石蝋,せきろう
薩摩下駄,さつまげた
勿忘草,わすれなぐさ
印棉,いんめん
歿後,ぼつご
明眸皓歯,めいぼうこうし
茴香,ういきょう
胴慾,どうよく
乱杭,らんぐい
間鴨,あいがも
街談巷説,がいだんこうせつ
謂因縁,いわれいんねん
艷冶,えんや
褪紅,たいこう
蝦蟇口,がまぐち
酉市,とりのいち
寂々,せきせき
潅木,かんぼく
智慮,ちりょ
石鏃,せきぞく
趨向,すうこう
倭国,わのくに
倭国,わこく
十誡,じっかい
明々白々,めいめいはくはく
肩胛骨,けんこうこつ
莢豌豆,さやえんどう
口吻,こうふん
水嚢,すいのう
曳網,ひきあみ
葛餡,くずあん
処々方々,しょしょほうぼう
悉皆屋,しっかいや
紅蓮地獄,ぐれんじごく
藻汐,もしお
斯界,しかい
防蝕,ぼうしょく
曼陀羅,まんだら
瑣細,ささい
楊梅,やまもも
情慾,じょうよく
嗜眠,しみん
誹諧,はいかい
竪坑,たてこう
一掬,いっきく
蘭塔場,らんとうば
氷嚢,ひょうのう
晨明,しんめい
砂洲,さす
高々指,たかたかゆび
金襴緞子,きんらんどんす
稜角,りょうかく
惻隠,そくいん
甲斐性,かいしょう
蘇民将来,そみんしょうらい
胡弓,こきゅう
南鐐,なんりょう
聯珠,れんじゅ
飯盒,はんごう
端々,はしばし
粥腹,かゆばら
匙加減,さじかげん
烏蛇,からすへび
輓馬,ばんば
走禽,そうきん
公孫樹髷,いちょうまげ
信太鮨,しのだずし
梅醤,うめびしお
万斛,ばんこく
叛服,はんぷく
衍文,えんぶん
笠付,かさづけ
絽縮緬,ろちりめん
桧扇,ひおうぎ
卑怯,ひきょう
牢役人,ろうやくにん
朴訥,ぼくとつ
鮑魚,ほうぎょ
水沫,すいまつ
艷姿,あですがた
馬盥,ばだらい
栗石,くりいし
新禧,しんき
鉄漿,おはぐろ
嫖客,ひょうかく
金蝿,きんばえ
鯨鬚,くじらひげ
撓革,いためがわ
蒔肥,まきごえ
痔疾,じしつ
注疏,ちゅうそ
山鳩色,やまばといろ
淋疾,りんしつ
篠笛,しのぶえ
塩辛蜻蛉,しおからとんぼ
朔風,さくふう
繁縷,はこべ
青黴,あおかび
三面六臂,さんめんろっぴ
二十日夷,はつかえびす
御高誼,ごこうぎ
青瓢箪,あおびょうたん
緞帳役者,どんちょうやくしゃ
一碧,いっぺき
僻目,ひがめ
甜菜,てんさい
胡蝶花,しゃが
右近橘,うこんのたちばな
烏勘左衛門,からすかんざえもん
心悸,しんき
走馬燈,そうまとう
分葱,わけぎ
月桂冠,げっけいかん
琴瑟,きんしつ
小心翼々,しょうしんよくよく
聯詩,れんし
両棲,りょうせい
貴翰,きかん
梟雄,きょうゆう
草鞋銭,わらじせん
辻占,つじうら
緞帳芝居,どんちょうしばい
画舫,がぼう
猥書,わいしょ
稀代,きたい
砂嚢,さのう
金盞花,きんせんか
刀圭,とうけい
兎唇,みつくち
兎唇,としん
兎唇,いぐち
余喘,よぜん
蟻地獄,ありじごく
髭面,ひげづら
欣欣然,きんきんぜん
事々,ことごと
熾火,おきび
薯蕷芋,とろろいも
悖理,はいり
咳唾,がいだ
米櫃,こめびつ
令閨,れいけい
菩提樹,ぼだいじゅ
宿痾,しゅくあ
結跏趺坐,けっかふざ
猥雑,わいざつ
紋絽,もんろ
軒昂,けんこう
屑繭,くずまゆ
古稀,こき
午餐,ごさん
藁筆,わらふで
鰹節,かつおぶし
笊耳,ざるみみ
旱害,かんがい
邯鄲師,かんたんし
飢饉,ききん
粳餅,うるもち
鞍部,あんぶ
贅語,ぜいご
簡捷,かんしょう
庚申,こうしん
朧雲,おぼろぐも
鶉斑,うずらふ
花筐,はながたみ
北辰,ほくしん
大嘗祭,だいじょうさい
玉箒,たまははき
新嘗祭,にいなめさい
薩長,さっちょう
横縞,よこじま
黄鶲,きびたき
綿々,めんめん
松柏,しょうはく
冬葱,わけぎ
楕円,だえん
梵論字,ぼろんじ
耶蘇教,やそきょう
矢絣,やがすり
猊下,げいか
縞馬,しまうま
煉瓦,れんが
俄狂言,にわかきょうげん
弘誓,ぐぜい
沈魚落雁,ちんぎょらくがん
熊鷹,くまたか
蜀錦,しょっきん
艱難辛苦,かんなんしんく
切炬燵,きりごたつ
絃楽器,げんがっき
人々,ひとびと
唐芥子,とうがらし
海鼠,なまこ
枳殻,からたち
緬羊,めんよう
蓖麻,ひま
缺番,けつばん
才槌,さいづち
捩鉢巻,ねじはちまき
月卿雲客,げっけいうんかく
講筵,こうえん
梶棒,かじぼう
