亜,ア
哀,アイ,あわれ,あわれむ
挨,アイ
愛,アイ
曖,アイ
悪,アク,オ,わるい
握,アク,にぎる
圧,アツ
扱,あつかう
宛,あてる
嵐,あらし
安,アン,やすい
案,アン
暗,アン,くらい
以,イ
衣,イ,ころも
位,イ,くらい
囲,イ,かこむ,かこう
医,イ
依,イ,エ
委,イ,ゆだねる
威,イ
為,イ
畏,イ,おそれる
胃,イ
尉,イ
異,イ,こと
移,イ,うつる,うつす
萎,イ,なえる
偉,イ,えらい
椅,イ
彙,イ
意,イ
違,イ,ちがう,ちがえる
維,イ
慰,イ,なぐさめる,なぐさむ
遺,イ,ユイ
緯,イ
域,イキ
育,イク,そだつ,そだてる,はぐくむ
一,イチ,イツ,ひと,ひとつ
壱,イチ
逸,イツ
茨,いばら
芋,いも
引,イン,ひく,ひける
印,イン,しるし
因,イン,よる
咽,イン
姻,イン
員,イン
院,イン
淫,イン,みだら
陰,イン,かげ,かげる
飲,イン,のむ
隠,イン,かくす,かくれる
韻,イン
右,ウ,ユウ,みぎ
宇,ウ
羽,ウ,は,,はね
雨,ウ,あめ,あま
唄,うた
鬱,ウツ
畝,うね
浦,うら
運,ウン,はこぶ
雲,ウン,くも
永,エイ,ながい
泳,エイ,およぐ
英,エイ
映,エイ,うつる,うつす,はえる
栄,エイ,さかえる,はえ,はえる
営,エイ,いとなむ
詠,エイ,よむ
影,エイ,かげ
鋭,エイ,するどい
衛,エイ
易,エキ,イ,やさしい
疫,エキ,ヤク
益,エキ,ヤク
液,エキ
駅,エキ
悦,エツ
越,エツ,こす,こえる
謁,エツ
閲,エツ
円,エン,まるい
延,エン,のびる,のべる,のばす
沿,エン,そう
炎,エン,ほのお
怨,エン,オン
宴,エン
媛,エン
援,エン
園,エン,その
煙,エン,けむる,けむり,けむい
猿,エン,さる
遠,エン,オン,とおい
鉛,エン,なまり
塩,エン,しお
演,エン
縁,エン,ふち
艶,エン,つや
汚,オ,けがす,けがれる,けがらわしい,よごす,よごれる,きたない
王,オウ
凹,オウ
央,オウ
応,オウ,,こたえる
往,オウ
押,オウ,おす,おさえる
旺,オウ
欧,オウ
殴,オウ,なぐる
桜,オウ,さくら
翁,オウ
奥,オウ,おく
横,オウ,よこ
岡,おか
屋,オク,や
億,オク
憶,オク
臆,オク
虞,おそれ
乙,オツ
俺,おれ
卸,おろす,おろし
音,オン,イン,おと,ね
恩,オン
温,オン,あたたか,あたたかい,あたたまる,あたためる
穏,オン,おだやか
下,カ,ゲ,した,しも,もと,さげる,さがる,くだる,くだす,くださる,おろす,おりる
化,カ,ケ,ばける,ばかす
火,カ,ひ,ほ
加,カ,くわえる,くわわる
可,カ
